duration,resolution_status,issue_category,csat,bot_effectiveness,transfer_reason,friction_points,summary_text,sentiment
3,,,,,,,,Neutral
94,,,,,,,"The customer stated that although the order shows as delivered, they have not received it and did not get any call or OTP from the delivery agent. They asked for help and agreed to be transferred to a senior for resolution.",Neutral
48,Resolved by Bot,Order Tracking,4.0,High,None,"Initial confusion about 'password' reference, quickly clarified by bot","The customer wanted to know which delivery company was handling their order and mentioned receiving a ‘password’. The bot clarified the delivery partner (Blue Dart) and explained no passwords were sent, resolving the inquiry with apparent satisfaction.",Neutral
70,,,,,,,The customer complained that their order was repeatedly put on hold and said they never received any delivery call. They requested clarity on where the product was delivered since they did not receive or hand over the item.,Negative
181,,,,,,,"The customer complained about poor service, saying this was their first order and they faced many issues. They stated their order shows as delivered but they have not received it and questioned the company’s delivery policies.",Negative
125,,,,,,,The customer stated that their order was delayed beyond the promised delivery date. They acknowledged the agent’s explanation and agreed to have the issue escalated.,Negative
90,Abandoned by User,Missing Items,2.0,Medium,None,The bot failed to provide a clear resolution or escalate the case after confirming the customer had not received the parcel.,"The customer reported a missing order that was marked as attempted delivery but never received. The issue remained unresolved as the bot provided delivery details and asked the user to check locally, leaving the customer unsatisfied.",Negative
192,,,,,,,The customer stated that their order has not been received despite being marked as delivered. They expressed frustration and questioned how the delivery partner could mark it delivered without handing it over.,Negative
14,,,,,,,,Neutral
8,,,,,,,,Neutral
267,Resolved by Bot,Order Tracking,5.0,High,None,"Minor confusion about order total, quickly clarified by the bot","The customer wanted to check why their recently placed order was not visible in their account or order list. The bot confirmed the order was successfully placed and active, explained it was a temporary technical glitch, and the customer ended the chat satisfied.",Positive
451,,,,,,,The customer wanted to place a new order for a skin brightening product and mentioned facing issues while trying to order through the app. They requested to be connected to a senior representative for further help.,Negative
237,Resolved by Bot,Shipping Delay,5.0,High,None,Minor confusion over order number repetition but resolved smoothly,"The customer wanted to know why their sunscreen and face wash order placed on May 16 had not yet shipped despite an estimated delivery date of May 19. The bot confirmed the order was active, explained the delay, and reassured the customer it would ship soon; the customer was satisfied and thanked the agent.",Positive
186,Resolved by Bot,Order Tracking,4.0,High,None,Initial confusion about status terminology and misunderstanding of 'refund initiated' status,"The customer was confused about seeing a 'refund initiated' status for their active order and wanted clarification. The bot explained the situation, assured the customer that the order was confirmed and not cancelled, and the conversation ended with the user sounding reassured.",Positive
111,,,,,,,The customer reported that her order has not been shipped yet and expressed concern about the delivery date already passing. She agreed to be connected with the senior team for further assistance.,Neutral
121,,,,,,,The customer requested to cancel her order and confirmed she wanted to cancel the specific one mentioned. She acknowledged the cancellation and had no further assistance needed.,Positive
126,Resolved by Bot,Wrong Item,5.0,High,None,None,,Neutral
137,Transferred to Human,Missing Items,4.0,Medium,Policy restriction (Human required),Initial language confusion and user clarification about missing promotional items,,Negative
3,,,,,,,,Neutral
57,,,,,,,The customer stated that they received a wrong item in their recent order. They requested to connect with the customer care team to resolve the issue.,Negative
232,Resolved by Bot,Missing Item,5.0,High,None,"Minor connectivity issues during the call, but no confusion or looping detected.","The customer reported a missing product from their recent 'Buy One Get One Free' order. The bot apologized, shared a WhatsApp link for return/exchange, and the customer ended the call satisfied though the issue required further action.",Negative
3,,,,,,,,Neutral
121,,,,,,,"The customer asked for the status of her order #3291934 and expressed frustration about the delivery delay, noting it has been over ten days since placing the order. She agreed to be transferred to a senior agent for further assistance.",Negative
211,,,,,,,The customer asked about the delivery status of his order and confirmed it has not yet been received. He later confirmed satisfaction with the support and rated the experience as five out of five.,Positive
56,,,,,,,,Neutral
134,,,,,,,The customer wanted to know the status and tracking details of their order. They confirmed they needed assistance with tracking it.,Positive
76,,,,,,,,Neutral
19,,,,,,,,Neutral
67,Abandoned by User,Login/OTP Issue,2.0,Low,None,User repeatedly said 'Hello' indicating communication issues; Bot failed to clarify or resolve OTP problem.,The customer was experiencing an issue with OTP verification while trying to access their account. The issue remained unresolved as the conversation showed confusion and ended without confirmation of resolution or user satisfaction.,Negative
250,,,,,,,The customer reported a delayed delivery for her sunscreen and serum order and requested an address change. She later confirmed understanding of the delivery timeline and refund process if the product is not delivered.,Negative
23,,,,,,,The customer requested to speak with a real person instead of an AI representative. No further details or inquiries were provided.,Neutral
174,,,,,,,The customer reported that her order placed on May 18 had not been delivered yet despite the expected delivery date being May 18. She expressed frustration about the delay and agreed to be transferred to a senior agent for resolution.,Negative
316,Transferred to Human,Refund / Replacement,3.0,Medium,Policy restriction (Human required),Customer did not receive the WhatsApp message for replacement; return option missing in app; multiple 'Hello' responses indicating connection or comprehension issues.,The customer reported an issue with their delivered order and requested a product replacement but was unable to find the return option on the app. The case was transferred to a human agent for manual return processing as the bot could not complete it; the customer appeared somewhat dissatisfied.,Negative
25,,,,,,,The customer reported that their placed order has not yet arrived. They seek assistance regarding the delayed delivery.,Neutral
315,,,,,,,The customer inquired about the delivery status of his order as it was due today but not showing 'out for delivery'. He agreed to be connected with a senior executive for further assistance.,Positive
27,Abandoned by User,Order Tracking,2.0,Medium,None,User repeatedly said 'Hello?' indicating confusion or delay in bot responses,"The customer wanted to know why their order had not yet arrived. The bot retrieved the order and shipping details, but the conversation ended without clear confirmation, leaving the issue unresolved and the customer unsatisfied.",Positive
97,,,,,,,The customer asked the agent to check the status of their order using the ID 3624405. They tried to confirm the number multiple times but could not get any resolution on the order details.,Neutral
183,Resolved by Bot,Wrong Item,5.0,High,None,None,"The customer reported receiving fewer items (3 instead of 4) in their combo order. The bot sent return/exchange instructions via WhatsApp, and the issue was resolved with the customer expressing full satisfaction.",Positive
325,Resolved by Bot,Shipping Delay,5.0,High,None,Minor confusion when user mentioned WhatsApp not active on the registered number; resolved quickly by offering email alternative.,"The customer wanted to delay the delivery of his order because he was not available at his address. The bot emailed the tracking details and provided courier contact guidance, resolving the query with full customer satisfaction.",Positive
173,,,,,,,,Neutral
113,,,,,,,The customer asked why their order that was supposed to be delivered on the 19th had not arrived yet. They thanked the agent after receiving the update and declined further help.,Neutral
25,,,,,,,,Neutral
146,,,,,,,The customer reported receiving a wrong product but confirmed they already raised a return request on the website. They mentioned the request is currently under process and received a missed call from support regarding it.,Negative
4,,,,,,,,Neutral
88,,,,,,,The customer mentioned placing an order with a delivery date of the eighteenth and confirmed receiving a courier call that went on hold but never resumed. They also stated receiving a dispatch message but have not received any follow-up call regarding delivery yet.,Positive
143,,,,,,,"The customer reported two issues related to their orders, including an EMI option issue where an autopay was created and not canceled. They also mentioned that the second prepaid order has no confirmation or tracking updates yet.",Negative
117,,,,,,,The customer mentioned that their order is out for delivery but they have not received the parcel yet and requested to check the local tracking details. They confirmed checking the tracking and ended the call politely after saying no further help was needed.,Neutral
18,,,,,,,The customer only greeted the agent without providing any details. No query or intent was expressed during the call.,Neutral
66,,,,,,,The customer stated that they did not cancel their order and requested the conversation to be in English or Telugu. They seemed confused about why the order status shows as canceled.,Negative
21,,,,,,,,Neutral
163,Resolved by Bot,Order Tracking,5.0,High,None,"Minor confusion initially when user repeated greetings, but resolved quickly",,Positive
4,,,,,,,,Neutral
195,Transferred to Human,Missing Item,3.0,Medium,Policy restriction (Human required),User frustration visible when not receiving product despite delivery marked; repeated clarification of non-receipt before escalation.,,Negative
162,,,,,,,,Neutral
14,,,,,,,,Neutral
52,Abandoned by User,Shipping Delay,2.0,Medium,None,User expressed confusion and repeated 'no' without the bot clarifying or re-engaging effectively.,,Neutral
150,Resolved by Bot,Order Tracking,5.0,High,None,Minor confusion during initial language exchange but quickly resolved,"The customer wanted to know the delivery status of their order that had not yet arrived. The AI assistant provided tracking details via WhatsApp, and the customer ended the chat politely with apparent satisfaction.",Positive
147,,,,,,,Customer reported receiving only one item instead of two in their order and wanted clarification on when they will get the missing quantity. They rated their experience poorly due to lack of immediate resolution.,Negative
51,Transferred to Human,Shipping Delay,2.0,Low,Bot failed to understand,Bot retrieved order details but did not address delay or provide tracking resolution; user appeared frustrated.,"The customer’s primary issue was a delayed delivery for an order placed on May 14th that had not arrived by May 19th. The bot attempted to locate the order but did not provide a clear resolution, leaving the customer unsatisfied.",Negative
167,Abandoned by User,Shipping Delay,2.0,Medium,None,"User expressed confusion about delivery timing, and conversation ended without clear closure.","The customer's primary issue was about the delayed delivery of her order placed on May 13th, 2026. The assistant provided an expected delivery date of May 17th, but the user indicated it was already May 19th, leaving the resolution unclear and the customer somewhat unsatisfied.",Neutral
162,Resolved by Bot,Order Tracking,4.0,High,None,None,The customer wanted confirmation on the delivery status of a serum order that had not yet arrived.,Neutral
90,,,,,,,The customer mentioned making a payment via UPI and provided a transaction ID along with Google Pay details. She stated that payment may have been made twice and offered to send a screenshot for confirmation.,Positive
91,,,,,,,The customer complained that their order is not showing in the order history and mentioned making a payment through SBI on May 19 at 9:06 PM. They also expressed frustration that previous calls and the senior team were not receiving the call.,Negative
82,,,,,,,"The customer stated that despite making the payment, the order is not showing on their phone. They mentioned repeated calls with no response and requested escalation to resolve their claim issue.",Negative
94,Abandoned by User,Order Tracking,2.0,Medium,None,User gave unclear responses at the end; bot could not understand and resolution confirmation was missing.,"The customer reported that their order had not been delivered. The bot provided tracking details via WhatsApp but the customer’s final messages were unclear, showing possible misunderstanding and no confirmed resolution.",Positive
5,,,,,,,,Neutral
25,,,,,,,,Neutral
21,,,,,,,The customer responded briefly but did not share any details or ask questions. No intent toward invitation or any action was expressed.,Neutral
35,,,,,,,The customer only greeted the agent and did not express any specific concern or query. No actionable information was provided during the call.,Neutral
115,,,,,,,The customer asked about the delivery status of his serum order and wanted to know if it was canceled or ready for delivery. He was concerned about the delivery delay and requested the call be transferred to a senior executive.,Negative
66,,,,,,,,Neutral
140,,,,,,,The customer stated that their payment was completed but the order was not confirmed and is still showing as pending. They mentioned using a different phone number and email for the purchase and have faced this issue multiple times.,Neutral
174,,,,,,,The customer reported that their order is not showing in the order history and requested verification of the payment made via UPI. They provided their email and UPI details for checking the payment status.,Neutral
313,Resolved by Bot,Missing Items,3.0,Medium,None,Multiple instances of communication breakdown with repeated 'Hello' messages; user expressed confusion about missing products before resolution.,"The customer reported that one of the items in her delivered order was missing. The bot provided return/exchange instructions via WhatsApp, and the customer seemed somewhat satisfied but unsure, ending the chat ambiguously.",Positive
94,Transferred to Human,Missing Order,2.0,Low,Bot failed to understand,Customer mentioned multiple failed calls and lack of response; repeated frustration about payment showing but no visible order.,"The customer was concerned about a missing order that did not appear in their account despite successful payment via Google Pay. The bot was unable to confirm the order or resolve the issue, and the user expressed ongoing frustration without confirmation of resolution.",Negative
93,,,,,,,The customer reported that the received product showed as not returnable even though it was delivered. They acknowledged the update and appeared satisfied after instructions were sent.,Positive
101,,,,,,,The customer reported that they entered the wrong phone number while placing an order and cannot receive calls from the delivery person. They requested assistance to correct the number but mentioned that no senior representative was answering calls.,Negative
112,Transferred to Human,Shipping Delay,3.0,Medium,Policy restriction (Human required),"Delay in delivery and lack of tracking update caused user concern, requiring escalation.","The customer reported that their order (#3442156) had not been delivered despite the expected date passing. The bot investigated, acknowledged the delay, and transferred the case to a senior support agent, with the customer appearing neutral and cooperative.",Negative
57,,,,,,,The customer stated she ordered under the Buy 2 Get 2 offer but received only one product. She mentioned paying Rs. 698 and is concerned the return option shows only Rs. 349 as refundable.,Negative
85,,,,,,,The customer reported that she ordered a 'Buy 2 Get 2' product but received a refund of only Rs 349 instead of Rs 698. She asked what she should do next to resolve the refund discrepancy.,Neutral
259,,,,,,,,Neutral
145,,,,,,,The customer stated that the product was not delivered and wanted to return the items. She acknowledged receipt of return details and ended the call without further concerns.,Negative
186,Abandoned by User,Order Tracking,2.0,Low,None,"Bot repeated data checks, failed to locate the new order, and conversation ended with no resolution or reassurance.","The customer reported that after making a payment, the new order was not showing in her account. The issue remained unresolved as the bot was still checking account details and the conversation ended without confirmation, leaving the customer unsatisfied.",Neutral
262,,,,,,,The customer said their order return was completed and mentioned they wanted an exchange instead of a refund. They confirmed that the product was already picked up and now await the exchange shipment update.,Positive
8,,,,,,,,Neutral
227,,,,,,,The customer reported an issue with her order delivery due to an incorrect mobile number entered on the Derma Co website. She provided her order number and email ID for verification and agreed to be transferred to a senior agent for further assistance.,Positive
36,,,,,,,The customer only said hello and did not provide any further information or query. No intent or interest was expressed during the call.,Neutral
69,,,,,,,The customer only said hello and did not provide any query or relevant response. No intent or further action was expressed.,Neutral
80,,,,,,,"The customer reported that they provided an incorrect phone number in their order, leading to issues with OTP verification during delivery. They complained about the rude behavior of the delivery person and wanted to file a complaint.",Negative
107,,,,,,,The customer reported that the payment for an order was deducted but no order confirmation was received. They provided the deduction date and time to help locate the transaction.,Positive
12,,,,,,,,Neutral
314,,,,,,,"The customer mentioned his order was dispatched but said the address was incomplete and asked how payment would be handled. He was concerned about partial delivery and clarified he would only pay for items received, confirming understanding at the end.",Negative
143,,,,,,,The customer mentioned that she ordered products under a Buy 2 Get 2 offer and noticed a mismatch in her refund amount. She agreed to be transferred to a senior executive for clarification regarding the refund calculation.,Neutral
194,,,,,,,The customer reported that she made a payment through Google Pay for an order but it is not showing in her account. She confirmed payment success and asked how to send the screenshot for verification.,Positive
23,,,,,,,,Neutral
166,Resolved by Bot,Missing Item,5.0,High,None,Initial audio/connection confusion at the start of the call,"The customer reported that the face wash was missing from their delivered order. The bot resolved the issue by acknowledging the missing item and sending return/exchange instructions via WhatsApp, and the customer expressed satisfaction.",Neutral
689,Transferred to Human,Shipping Delay,2.0,Medium,Policy restriction (Human required),"Customer expressed frustration over repeated delays, lack of order updates, previous failed call attempts with senior staff, and distrust in brand reliability.","The customer reported a shipping delay for a prepaid order that had not been dispatched or updated on the site. The bot created a priority ticket for escalation and scheduled a human callback, but the customer remained dissatisfied, rating the experience as 2.",Negative
186,,,,,,,The customer reported that their sunscreen order placed on May 13 had not yet been shipped and asked about the delay. They accepted the explanation that it was still within normal processing time and had no further issues.,Negative
104,Transferred to Human,Cancellation,3.0,Medium,Policy restriction (Human required),Language confusion with Hindi and English initially caused communication issues.,"The customer reported that multiple recent orders were canceled unexpectedly. The issue was escalated to a senior support member for further investigation, and the customer appeared neutral but cooperative.",Negative
308,Resolved by Bot,Cancellation,3.0,High,None,"Minor confusion when switching languages, but resolved smoothly.","The customer wanted to cancel or change the delivery address for an order delayed beyond the expected date. The bot explained cancellation was not possible mid-transit, advised refusing delivery for a full refund, and the customer closed the call with moderate satisfaction.",Positive
141,,,,,,,The customer mentioned not receiving their order and asked for the confirmed delivery date as the earlier one had passed. They initially considered canceling for a refund but then requested to proceed with delivery instead.,Neutral
101,,,,,,,"The customer reported that their order, expected to be delivered by May 17, has still not been received as of May 19. They confirmed the delay and agreed to be transferred to a senior agent for resolution.",Neutral
89,,,,,,,Customer reported that their order has not arrived even though the guaranteed delivery date has passed. They confirmed that payment was already made in advance.,Positive
17,,,,,,,The customer spoke in an unclear manner without expressing any specific intent or query. No actionable information or event-related response was provided.,Positive
207,,,,,,,The customer requested to change the shipping address for an order mistakenly placed with a Delhi address instead of Rajasthan. He agreed to cancel the order and accepted the refund process within five to seven days.,Negative
6,,,,,,,,Neutral
206,,,,,,,The customer reported that their prepaid online order had shown as cancelled and refund processed in the app. They requested the reason for the cancellation and agreed to be transferred to a senior executive for further explanation.,Negative
263,Resolved by Bot,Shipping Delay,4.0,High,None,Minor confusion due to user’s mixed-language input but quickly clarified by bot,"The customer reported a delayed order that had not been delivered after a week. The bot confirmed the order was in transit, advised contacting the courier, and the customer appeared mostly satisfied with a CSAT of 4.",Positive
426,,,,,,,Customer reported missing face wash from his May 15 order and confirmed only sunscreen was received. He agreed to wait 48 hours for the pending item to be shipped and rated the service 4 out of 5.,Neutral
10,,,,,,,,Neutral
226,Transferred to Human,Order Tracking,2.0,Medium,Bot failed to understand,Customer confusion about parcel being marked 'delivered' but not received; bot unable to verify actual delivery or initiate investigation,"The customer reported that both of her orders had not been received and wanted to know their delivery status. The bot provided tracking details and explanations but the order delivery confusion remained unresolved, leaving the customer unsatisfied.",Positive
25,,,,,,,,Neutral
95,Abandoned by User,Order Tracking,2.0,Low,None,Bot did not clarify or resolve the delivery confusion; user restated the issue multiple times with no final resolution.,The customer’s main issue was that their order had not yet been delivered despite showing as out for delivery in the app. The issue remained unresolved by the bot as delivery confirmation was unclear and the user’s concern persisted.,Neutral
149,Resolved by Bot,Order Tracking,3.0,High,None,None,"The customer wanted to update the delivery address or cancel their dispatched order and confirm the delivery date. The bot informed that cancellation or address change was not possible and provided the estimated delivery date, resolving the query with a neutral satisfaction rating.",Positive
226,,,,,,,"The customer reported that after making a payment, their order disappeared and is not showing in their account. They were trying to confirm the issue by providing their phone number and looking for the order ID in their email.",Negative
56,Abandoned by User,Shipping Delay,2.0,Low,None,Bot looped while retrieving order information but never addressed the delivery date change request or provided tracking details.,"The customer reported that their order, due for delivery on the nineteenth, had not yet arrived and asked if they could change the delivery date to August. The bot checked the order details but did not provide a clear resolution, leaving the issue unresolved and the customer likely unsatisfied.",Positive
180,,,,,,,,Neutral
15,,,,,,,,Neutral
117,,,,,,,The customer requested order details and expressed frustration about the delayed delivery and the delivery agent not answering calls. He asked when the order would be delivered.,Negative
23,,,,,,,The customer mentioned they had previously been told that a senior executive would contact them regarding their order. They greeted again during the call but did not provide new details beyond referencing the pending follow-up.,Neutral
344,,,,,,,The customer reported that her Derma Co order placed on May 16 had not been updated or delivered as scheduled on May 18. She requested an exact delivery date and asked that the order be processed urgently due to her skincare needs.,Negative
199,Transferred to Human,Missing Items,2.0,Medium,Policy restriction (Human required),Customer expressed frustration over non-receipt of prepaid orders; bot repeated delivery status and required address confirmation before transferring.,"The customer reported that both of their prepaid orders had not been received despite one showing as delivered. The issue was escalated to a senior team for further investigation, indicating it was not fully resolved and the customer appeared dissatisfied.",Neutral
73,Transferred to Human,Refund,2.0,Low,Bot failed to understand,Bot struggled to interpret user’s statement about deduction without order; conversation ended without resolution.,"The customer reported that money was deducted but no refund was received. The issue was not fully resolved as the bot seemed confused and no confirmation of refund processing was given, leaving the user unsatisfied.",Positive
122,Resolved by Bot,Order Tracking,4.0,Medium,None,Initial language barrier and unclear customer statements caused confusion early in the conversation.,"The customer was confused about their order status and requested shipment or withdrawal details. The assistant provided shipment tracking information via WhatsApp, and the customer acknowledged, appearing satisfied.",Positive
102,,,,,,,The customer reported that their refund has not been received. They attempted to provide information for the order verification but requested to continue in English.,Negative
123,,,,,,,,Neutral
231,,,,,,,The customer asked about her delayed order that was supposed to be delivered on the 18th but has not been updated yet. She stayed on the line waiting and confirmed she was still present during the call.,Neutral
2,,,,,,,,Neutral
109,Transferred to Human,Wrong Item,3.0,Medium,Policy restriction (Human required),Language switch confusion and system showing refund instead of exchange,"The customer received a wrong product and wanted to exchange it, but the system showed a refund instead of an exchange. The issue was escalated to a senior agent for investigation, and the customer appeared cooperative though unresolved.",Negative
236,,,,,,,,Neutral
260,Resolved by Bot,Address Change Request,5.0,High,None,None,"The customer wanted to check the delivery status of their order and later requested a delivery address change. The bot explained the policy restrictions, suggested alternatives, and the customer confirmed satisfaction with the resolution.",Neutral
121,,,,,,,The customer reported that their order placed on May 16th has not been dispatched even after four days beyond the estimated delivery date. They expressed frustration and requested to speak with a senior representative.,Negative
277,,,,,,,The customer reported that the delivered order contained the wrong product and requested a replacement. He confirmed that he did not receive the WhatsApp message for return instructions and was guided to place a return through the app or website.,Negative
5,,,,,,,,Neutral
57,Transferred to Human,Shipping Delay,2.0,Medium,Requested by User,Customer expressed frustration over delays and repeated contacts without resolution.,"The customer was frustrated about a delayed or undelivered order that had already been escalated previously. The issue was escalated again to the senior team, with no final resolution during the chat and unclear customer satisfaction.",Negative
126,,,,,,,"Customer stated that she did not receive any call from the delivery agent and reported that the delivery boy refused to come to her doorstep, asking her to come down instead. She mentioned that her order is being automatically rescheduled without her consent.",Neutral
109,,,,,,,,Neutral
119,,,,,,,The customer reported that the order placed on May 16 has not been updated or delivered and is showing refund and cancel options despite not canceling it. They expressed concern that it is already May 19 and want to know when they will receive their order.,Negative
250,,,,,,,The customer mentioned experiencing a problem with entering the PIN code during payment on The Derma Co website. They seemed confused but wanted to resolve the issue with their order and billing process.,Negative
144,Resolved by Bot,Shipping Delay,5.0,High,None,"Minor misunderstanding at the end when user said 'Change', but resolved quickly","The customer’s primary issue was a delivery delay for an order that was expected on May 19 but had not arrived. The AI assistant provided tracking details via WhatsApp and confirmed the order was in transit, leading to resolution with apparent customer satisfaction.",Positive
182,Resolved by Bot,Order Tracking,4.0,High,None,Customer mentioned delivery partner calls getting blocked but the bot ended the chat abruptly without addressing it further.,"The customer wanted to know the delivery status of her order and later requested that the delivery be scheduled after 4 PM due to class timings. The assistant added a note for the courier and provided tracking details, leaving the issue mostly resolved though with mild technical concerns about delivery calls.",Neutral
122,,,,,,,The customer reported that their order has been canceled twice and confirmed they wanted the agent to continue checking the issue. No further details or next steps were mentioned.,Neutral
26,,,,,,,The customer complained that the previous call to transfer to a senior executive failed and was disconnected. They expressed dissatisfaction with the poor service experience.,Negative
16,,,,,,,,Neutral
129,Resolved by Bot,Order Tracking,5.0,High,None,None,"The customer wanted to know the delivery status of a recently placed order that had not yet shipped. The bot confirmed the order details and estimated delivery date, and the customer ended the chat satisfied.",Positive
21,,,,,,,,Neutral
82,,,,,,,The customer mentioned their order was automatically cancelled and seemed confused about the reason. They did not request further assistance or any specific resolution.,Neutral
92,Resolved by Bot,Order Tracking,5.0,High,None,None,"The customer wanted to know the delivery status of their order that had not yet arrived. The bot provided tracking details via WhatsApp, and the user acknowledged understanding, showing apparent satisfaction.",Positive
17,,,,,,,,Neutral
171,,,,,,,The customer inquired about the delivery timeline for her Derma Co order and was informed that it is in transit. She confirmed that her issue is resolved and expects delivery by Saturday.,Positive
72,,,,,,,The customer inquired about the delivery date of their order and confirmed understanding that it is still in transit. They did not request any further assistance and thanked the agent before ending the call.,Positive
163,,,,,,,"The customer confirmed that payment for her sunscreen and syrup order was made via Google Pay, but the order is not showing in her account. She provided the UPI transaction ID and agreed to be connected to a senior executive for resolution.",Positive
153,Transferred to Human,Shipping Delay,3.0,Medium,Requested by User,Customer frustration over repeated delivery delays and lack of resolution before escalation,"The customer’s primary issue was a delayed delivery where the order repeatedly showed 'out for delivery' but was never received. The case was escalated to a senior team and transferred to a human agent, with the customer appearing somewhat relieved after the escalation.",Negative
61,Resolved by Bot,Wrong Item,5.0,High,None,None,"The customer received a wrong item in their order and wanted to know what steps to take. The bot provided a WhatsApp return link, resolved the issue, and the customer ended the chat satisfied.",Positive
253,,,,,,,The customer wanted to check the status of their order and provided multiple order numbers to verify which ones were processed or delivered. They confirmed that they only use the current phone number for their orders and asked the agent to check their account details accordingly.,Positive
33,,,,,,,The customer reported that their second order with an expected delivery date two days ago has still not arrived in Pune. They were checking on the delivery delay of their orders.,Negative
74,,,,,,,"The customer mentioned placing two orders and being charged twice without receiving a refund. They confirmed having a screenshot of the transaction, though noted it was short.",Positive
87,Abandoned by User,Wrong Item,2.0,Medium,None,"Customer repeatedly asked about return approval status; bot did not confirm directly, causing confusion.","The customer wanted to confirm if their return for an empty box delivery was approved. The issue was partially addressed by the bot sending WhatsApp return instructions, but approval status was not confirmed, leaving the customer unsatisfied.",Positive
116,Resolved by Bot,Shipping Delay,5.0,High,None,None,"The customer was concerned about not receiving their order placed on May 16th. The bot explained that the order was confirmed and would be dispatched soon, leaving the customer seemingly satisfied.",Positive
294,,,,,,,Customer reported receiving an incomplete order and mentioned not receiving the WhatsApp message with return instructions. They asked repeatedly how to initiate a return and rated the experience as poor (1).,Neutral
21,,,,,,,The customer only said 'hello' multiple times without providing any query or response. No intent or information was conveyed during the call.,Neutral
20,,,,,,,,Neutral
299,,,,,,,The customer repeatedly provided different order numbers attempting to locate their booking and confirmed that the order was placed using a different phone number. They expressed frustration regarding the inability to find the order and mentioned the other number used for the purchase.,Positive
157,,,,,,,"The customer asked for the exact estimated delivery date of his order, mentioning that the previous expected date had passed. He expressed frustration and insisted on knowing when the delivery will occur.",Negative
77,,,,,,,"The customer asked about the proper usage and longevity of moisturizer, toner, and serum products. They requested to be connected to an expert for further clarification.",Negative
97,,,,,,,The customer complained that their order had not arrived even though the expected delivery date had passed. They also asked when the order would be delivered.,Neutral
190,,,,,,,The customer asked about the status of a replace order placed on May 17 and mentioned no shipment update yet. They also inquired about the AWB number and confirmed satisfaction with a rating of four after getting the resolution.,Positive
25,,,,,,,The customer mentioned that they were referred and did not receive the promised ₹100 pharma cashback. They also stated that this is a new phone number.,Neutral
361,,,,,,,"The customer wanted to redeem rewards and later discussed issues with order #3348961, saying a wrong item was ordered and wanting to return it. They mentioned the return is not progressing because the request is pending approval due to incorrect information submitted earlier.",Negative
69,,,,,,,The customer reported that their order has been canceled and asked to speak in English. They agreed to be transferred to a senior executive for assistance.,Positive
25,,,,,,,,Neutral
152,,,,,,,The customer wanted to cancel the order but mentioned it had not been delivered despite showing as 'out for delivery'. They expressed frustration that the delivery has been delayed beyond the expected date.,Negative
183,,,,,,,The customer said their return was picked up but refund has not been received yet. They confirmed it was for the foundation order with two free items and agreed to connect with a senior for further help.,Positive
383,,,,,,,"The customer inquired about the status of their prepaid order from May 16 and expressed concern that it was not yet dispatched. They agreed to wait 48 hours and call back if no update is received, rating the service a 4.",Negative
19,Abandoned by User,Other,1.0,Low,None,"User repeatedly greeted without response progress, indicating communication breakdown","The customer repeatedly said 'Hello' without specifying an issue, likely due to connection or comprehension problems. The issue was not resolved and no satisfaction could be gauged.",Negative
89,Transferred to Human,Order Tracking,3.0,Medium,Requested by User,Language mismatch (Hindi instead of English) initially caused confusion; user explicitly requested human support.,"The customer wanted to track their recent face wash order and requested to speak directly with customer care. The issue was partially resolved by the bot, but the user requested a transfer, indicating incomplete satisfaction.",Negative
25,,,,,,,,Neutral
6,,,,,,,,Neutral
73,Abandoned by User,Order Tracking,1.0,Low,Bot failed to understand,"Language mismatch, repeated prompts, user confusion",The customer was trying to inquire about their order status or tracking information. The interaction remained unresolved as the bot failed to communicate effectively due to language barriers and repeated prompts.,Neutral
216,,,,,,,The customer mentioned that their parcel was delayed and expressed urgency to receive the order soon. They provided an order ID and said the order was placed from another phone number.,Neutral
56,Transferred to Human,Other,2.0,Medium,Bot failed to understand,"Customer clarified that the issue was about referral credits, not the order tracking, indicating misunderstanding from the bot.","The customer initially inquired about their order tracking but then shifted to an issue regarding missing referral rewards (Derma Cash). The bot resolved the tracking query but did not address the referral issue, leaving the matter unresolved and the customer unsatisfied.",Positive
25,,,,,,,,Neutral
90,,,,,,,The customer said the delivery supposed to arrive yesterday has not been delivered yet. He was at home and stated that no call was received from the delivery agent and expressed frustration about the delay.,Negative
265,,,,,,,The customer reported receiving a wrong order and provided multiple order numbers and contact details for verification. They agreed to have the call transferred to a senior executive for resolution.,Neutral
181,Resolved by Bot,Refund,4.0,Medium,None,Customer did not receive WhatsApp message and expressed slight confusion about the process.,"The customer was confused about an exchange process that appeared as a refund instead of exchange for their delivered order. The assistant clarified the situation, explained the exchange steps, and provided alternate instructions when the WhatsApp message failed to arrive, leaving the customer mostly satisfied but with minor confusion.",Neutral
209,,,,,,,The customer asked for her current order status and delivery date but found no proper information on the tracking link. She expressed frustration as her prepaid order was delayed and requested to be connected to a senior agent.,Negative
390,Resolved by Bot,Shipping Delay,5.0,High,None,None,"The customer faced repeated order cancellations and a delayed moisturizer delivery update. The bot confirmed the new order was secure, raised a courier complaint for the delayed one, and the customer expressed full satisfaction with a high rating.",Negative
226,Resolved by Bot,Wrong Item,5.0,High,None,None,,Neutral
59,,,,,,,The customer asked if COD orders are eligible for refunds and mentioned returning a COD order. They stated that someone told them a refund would be processed within 24 hours.,Neutral
133,Transferred to Human,Cancellation,3.0,Medium,Policy restriction (Human required),Language confusion at start; user repeated 'Hello' multiple times before effective communication started,,Neutral
